time(s)	cellId	rnti	lcid	packetSize
3.516	1	4	3	56
3.518	3	2	3	144
3.518	3	1	3	167
3.523	3	2	3	318
3.53	3	4	3	318
3.532	3	4	3	128
3.532	3	2	3	144
3.537	3	1	3	167
3.538	3	2	3	334
3.552	1	4	3	167
3.552	1	3	3	167
3.552	1	2	3	112
3.552	3	4	3	302
3.558	3	2	3	120
3.561	3	1	3	167
3.563	1	1	3	111
3.564	3	2	3	167
3.576	3	4	3	191
3.577	3	2	3	128
3.578	3	2	3	64
3.583	3	2	3	128
3.586	3	1	3	167
3.591	3	2	3	128
3.592	1	4	3	167
3.592	1	3	3	445
3.592	1	2	3	167
3.592	1	1	3	111
3.594	1	1	3	101
3.596	3	4	3	255
3.597	3	2	3	56
3.605	3	2	3	56
3.606	3	1	3	167
3.611	3	2	3	56
3.612	3	1	3	56
3.621	3	4	3	175
3.625	3	2	3	112
3.629	1	3	3	302
3.629	1	2	3	167
3.629	3	1	3	167
3.639	3	2	3	56
3.64	1	4	3	167
3.64	1	1	3	128
3.644	1	1	3	64
3.645	3	2	3	56
3.646	3	4	3	112
3.649	1	1	3	64
3.649	3	1	3	382
3.65	3	1	3	64
3.652	3	2	3	56
3.658	1	2	3	167
3.658	3	2	3	112
3.66	1	3	3	128
3.662	1	3	3	64
3.665	3	2	3	56
3.666	3	4	3	112
3.671	3	2	3	56
3.674	3	1	3	302
3.676	3	2	3	56
3.682	3	2	3	112
3.688	3	2	3	56
3.691	1	4	3	111
3.691	3	4	3	112
3.692	1	4	3	59
3.692	1	3	3	255
3.692	1	2	3	167
3.692	1	1	3	111
3.693	1	4	3	56
3.693	1	1	3	146
3.693	3	1	3	191
3.696	3	2	3	56
3.702	3	2	3	112
3.708	3	2	3	56
3.712	3	1	3	255
3.716	3	2	3	56
3.72	3	2	3	112
3.721	3	4	3	167
3.726	3	2	3	56
3.731	1	3	3	175
3.731	1	2	3	223
3.731	3	2	3	112
3.733	1	4	3	167
3.736	3	2	3	56
3.736	3	1	3	175
3.74	1	1	3	111
3.741	3	4	3	112
3.741	3	2	3	56
3.746	3	2	3	167
3.747	3	4	3	56
3.754	3	2	3	56
3.756	3	1	3	112
3.759	3	2	3	167
3.761	3	4	3	56
3.762	3	4	3	56
3.767	3	2	3	128
3.768	3	4	3	56
3.773	3	2	3	318
3.775	1	3	3	112
3.775	1	2	3	167
3.776	1	4	3	167
3.776	1	1	3	210
3.776	3	1	3	112
3.78	3	2	3	144
3.781	3	4	3	112
3.786	3	2	3	128
3.787	3	4	3	56
3.792	3	2	3	382
3.796	3	1	3	112
3.798	3	2	3	191
3.801	3	4	3	112
3.802	3	4	3	56
3.806	3	2	3	56
3.812	3	4	3	56
3.812	3	2	3	112
3.816	3	2	3	56
3.817	3	4	3	112
3.818	3	4	3	56
3.821	3	4	3	56
3.821	3	2	3	112
3.825	3	1	3	167
3.826	1	4	3	111
3.826	1	3	3	112
3.826	1	2	3	445
3.826	1	1	3	111
3.827	3	2	3	56
3.83	1	4	3	337
3.83	1	1	3	83
3.832	3	4	3	112
3.833	3	2	3	56
3.837	3	4	3	56
3.839	3	2	3	112
3.845	3	2	3	56
3.849	3	1	3	167
3.852	3	2	3	56
3.856	3	2	3	112
3.857	3	4	3	255
3.862	3	2	3	56
3.863	3	4	3	128
3.868	3	2	3	112
