file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-4-1.tr,4,r,6.5009,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50108,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50146,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50159,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50177,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.50197,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.5021,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54345,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54357,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54377,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54396,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54418,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.54431,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56338,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56339,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56356,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56362,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.56369,OfdmRate6Mbps,CTL_END,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,t,6.56553,OfdmRate6Mbps,MGT_BEACON,0.0,,,,,,,
